True_Label,Predicted_Label,Confidence_Score,Correct
Potato___Early_blight,Potato___Early_blight,0.9974,True
Potato___Early_blight,Potato___Early_blight,0.9939,True
Potato___Late_blight,Potato___Late_blight,0.9023,True
Potato___Early_blight,Potato___Early_blight,0.9990,True
Potato___Late_blight,Potato___Late_blight,0.9805,True
Potato___Early_blight,Potato___Early_blight,0.9992,True
Potato___Early_blight,Potato___Early_blight,0.9975,True
Potato___Late_blight,Potato___Late_blight,0.9938,True
Potato___Early_blight,Potato___Early_blight,0.9919,True
Potato___Early_blight,Potato___Early_blight,0.9999,True
Potato___Late_blight,Potato___Late_blight,0.9995,True
Potato___Late_blight,Potato___Late_blight,0.9964,True
Potato___Late_blight,Potato___Late_blight,0.8646,True
Potato___Late_blight,Potato___Late_blight,0.9802,True
Potato___Late_blight,Potato___Late_blight,0.9425,True
Potato___Early_blight,Potato___Early_blight,0.6925,True
Potato___Late_blight,Potato___Late_blight,0.9985,True
Potato___Late_blight,Potato___Late_blight,0.9942,True
Potato___Late_blight,Potato___Late_blight,0.8075,True
Potato___Early_blight,Potato___Early_blight,0.9997,True
Potato___Early_blight,Potato___Early_blight,0.9959,True
Potato___Early_blight,Potato___Early_blight,0.9984,True
Potato___Early_blight,Potato___Early_blight,0.9774,True
Potato___Late_blight,Potato___Late_blight,0.9997,True
Potato___Late_blight,Potato___Late_blight,0.7138,True
Potato___Late_blight,Potato___Late_blight,0.9969,True
Potato___Early_blight,Potato___Early_blight,0.9724,True
Potato___Early_blight,Potato___Early_blight,0.9645,True
Potato___Late_blight,Potato___Late_blight,0.9999,True
Potato___Late_blight,Potato___Late_blight,0.9864,True
Potato___Late_blight,Potato___Late_blight,0.9888,True
Potato___Early_blight,Potato___Early_blight,0.9503,True
Potato___Late_blight,Potato___Late_blight,0.9801,True
Potato___Late_blight,Potato___Late_blight,0.9999,True
Potato___Early_blight,Potato___Early_blight,0.9998,True
Potato___healthy,Potato___healthy,0.9642,True
Potato___Late_blight,Potato___Late_blight,0.7916,True
Potato___Early_blight,Potato___Early_blight,0.9977,True
Potato___Early_blight,Potato___Early_blight,0.4527,True
Potato___Late_blight,Potato___Late_blight,0.9936,True
Potato___Early_blight,Potato___Early_blight,0.9952,True
Potato___Early_blight,Potato___Early_blight,0.9863,True
Potato___Late_blight,Potato___Late_blight,0.9939,True
Potato___Early_blight,Potato___Early_blight,0.9916,True
Potato___Early_blight,Potato___Early_blight,0.9997,True
Potato___Late_blight,Potato___Late_blight,0.9996,True
Potato___Early_blight,Potato___Early_blight,0.9742,True
Potato___Early_blight,Potato___Early_blight,0.9034,True
Potato___Early_blight,Potato___Early_blight,0.9934,True
Potato___Late_blight,Potato___Late_blight,0.9810,True
Potato___Early_blight,Potato___Early_blight,0.9974,True
Potato___Early_blight,Potato___Early_blight,0.9932,True
Potato___Late_blight,Potato___Late_blight,0.9999,True
Potato___Late_blight,Potato___Late_blight,0.9907,True
Potato___Late_blight,Potato___Late_blight,0.9999,True
Potato___Early_blight,Potato___Early_blight,0.9577,True
Potato___Late_blight,Potato___Late_blight,0.9143,True
Potato___Early_blight,Potato___Early_blight,0.9957,True
Potato___Late_blight,Potato___Late_blight,0.7372,True
Potato___Late_blight,Potato___Late_blight,0.7280,True
Potato___Early_blight,Potato___Early_blight,0.9852,True
Potato___healthy,Potato___healthy,0.9954,True
Potato___Early_blight,Potato___Early_blight,0.9989,True
Potato___Late_blight,Potato___Late_blight,0.9997,True
Potato___Late_blight,Potato___Late_blight,0.9971,True
Potato___Late_blight,Potato___Late_blight,0.9846,True
Potato___Late_blight,Potato___Late_blight,0.9223,True
Potato___Early_blight,Potato___Early_blight,0.9964,True
Potato___Late_blight,Potato___Late_blight,0.9827,True
Potato___Early_blight,Potato___Early_blight,0.9921,True
Potato___Late_blight,Potato___Late_blight,0.9984,True
Potato___Early_blight,Potato___Early_blight,0.9918,True
Potato___Early_blight,Potato___Early_blight,0.9989,True
Potato___Late_blight,Potato___Late_blight,0.9430,True
Potato___Early_blight,Potato___Early_blight,0.9601,True
Potato___Early_blight,Potato___Early_blight,0.8661,True
Potato___Early_blight,Potato___Early_blight,0.9963,True
Potato___Early_blight,Potato___Early_blight,0.9991,True
Potato___Early_blight,Potato___Early_blight,0.9969,True
Potato___Late_blight,Potato___Late_blight,0.9919,True
Potato___Late_blight,Potato___Late_blight,0.9999,True
Potato___Late_blight,Potato___Late_blight,0.9976,True
Potato___Early_blight,Potato___Early_blight,0.9826,True
Potato___Early_blight,Potato___Early_blight,0.9996,True
Potato___Early_blight,Potato___Early_blight,0.9751,True
Potato___Early_blight,Potato___Early_blight,0.9971,True
Potato___Late_blight,Potato___Late_blight,0.5480,True
Potato___Late_blight,Potato___Late_blight,0.9376,True
Potato___Early_blight,Potato___Early_blight,0.9968,True
Potato___Late_blight,Potato___Late_blight,0.9875,True
Potato___Late_blight,Potato___Late_blight,0.6145,True
Potato___healthy,Potato___healthy,0.9270,True
Potato___Early_blight,Potato___Early_blight,0.9933,True
Potato___Early_blight,Potato___Early_blight,0.9996,True
Potato___Late_blight,Potato___Late_blight,0.8314,True
Potato___Early_blight,Potato___Early_blight,0.9848,True
Potato___Late_blight,Potato___Late_blight,0.9989,True
Potato___Late_blight,Potato___Late_blight,0.9984,True
Potato___Late_blight,Potato___Late_blight,0.9919,True
Potato___healthy,Potato___healthy,0.9753,True
Potato___Early_blight,Potato___Early_blight,0.9873,True
Potato___Early_blight,Potato___Early_blight,1.0000,True
Potato___Late_blight,Potato___Late_blight,0.5484,True
Potato___healthy,Potato___healthy,0.9183,True
Potato___Early_blight,Potato___Early_blight,0.9950,True
Potato___Late_blight,Potato___Late_blight,0.9988,True
Potato___Late_blight,Potato___Late_blight,0.9990,True
Potato___Early_blight,Potato___Early_blight,0.9994,True
Potato___Late_blight,Potato___Late_blight,0.9990,True
Potato___Late_blight,Potato___Late_blight,0.9039,True
Potato___Late_blight,Potato___Late_blight,0.9473,True
Potato___Early_blight,Potato___Early_blight,0.9977,True
Potato___Late_blight,Potato___Late_blight,0.9864,True
Potato___Early_blight,Potato___Early_blight,0.9981,True
Potato___Late_blight,Potato___Late_blight,0.8622,True
Potato___Late_blight,Potato___Late_blight,0.9992,True
Potato___Early_blight,Potato___Early_blight,0.9989,True
Potato___Early_blight,Potato___Early_blight,0.9987,True
Potato___Early_blight,Potato___Early_blight,0.9953,True
Potato___Early_blight,Potato___Early_blight,0.9968,True
Potato___healthy,Potato___healthy,0.9338,True
Potato___healthy,Potato___healthy,0.9266,True
Potato___Late_blight,Potato___Late_blight,0.9998,True
Potato___Late_blight,Potato___Late_blight,0.9919,True
Potato___Early_blight,Potato___Early_blight,0.9712,True
Potato___Early_blight,Potato___Early_blight,0.9857,True
Potato___Early_blight,Potato___Early_blight,0.9984,True
Potato___Early_blight,Potato___Early_blight,0.9964,True
Potato___Early_blight,Potato___Early_blight,0.9993,True
Potato___Late_blight,Potato___Late_blight,0.9940,True
Potato___Early_blight,Potato___Early_blight,0.9820,True
Potato___healthy,Potato___healthy,0.9748,True
Potato___Early_blight,Potato___Early_blight,0.9172,True
Potato___Early_blight,Potato___Early_blight,0.9984,True
Potato___Early_blight,Potato___Early_blight,0.9653,True
Potato___Late_blight,Potato___Late_blight,0.9938,True
Potato___Late_blight,Potato___Late_blight,0.7424,True
Potato___Late_blight,Potato___Late_blight,0.9950,True
Potato___Early_blight,Potato___Early_blight,0.9994,True
Potato___Late_blight,Potato___Late_blight,0.8914,True
Potato___Early_blight,Potato___Early_blight,0.9993,True
Potato___Early_blight,Potato___Early_blight,0.9968,True
Potato___Late_blight,Potato___Late_blight,0.8691,True
Potato___Late_blight,Potato___Late_blight,0.9928,True
Potato___Early_blight,Potato___Early_blight,1.0000,True
Potato___Late_blight,Potato___Late_blight,0.9419,True
Potato___Late_blight,Potato___Late_blight,0.8432,True
Potato___Late_blight,Potato___Late_blight,0.9971,True
Potato___Late_blight,Potato___Late_blight,0.9970,True
Potato___Early_blight,Potato___Early_blight,0.9933,True
Potato___Early_blight,Potato___Early_blight,0.9437,True
Potato___Late_blight,Potato___Late_blight,0.7280,True
Potato___Late_blight,Potato___Late_blight,0.9952,True
Potato___Early_blight,Potato___Early_blight,0.9911,True
Potato___Late_blight,Potato___Late_blight,0.9863,True
Potato___Early_blight,Potato___Early_blight,0.9897,True
Potato___Late_blight,Potato___Late_blight,0.8641,True
Potato___Late_blight,Potato___Late_blight,0.9990,True
Potato___Late_blight,Potato___Late_blight,0.9298,True
Potato___Early_blight,Potato___Early_blight,0.9993,True
Potato___Early_blight,Potato___Early_blight,0.9063,True
Potato___Late_blight,Potato___Late_blight,0.9952,True
Potato___Late_blight,Potato___Late_blight,0.9894,True
Potato___Late_blight,Potato___Late_blight,0.9998,True
Potato___Early_blight,Potato___Early_blight,0.9986,True
Potato___Early_blight,Potato___Early_blight,0.9931,True
Potato___Late_blight,Potato___Late_blight,0.9999,True
Potato___Late_blight,Potato___Late_blight,0.9937,True
Potato___Late_blight,Potato___Late_blight,0.7662,True
Potato___Early_blight,Potato___Early_blight,0.9990,True
Potato___Early_blight,Potato___Early_blight,0.9768,True
Potato___Late_blight,Potato___Late_blight,0.9971,True
Potato___Early_blight,Potato___Early_blight,0.9976,True
Potato___Late_blight,Potato___Late_blight,0.9992,True
Potato___Late_blight,Potato___Late_blight,0.9993,True
Potato___Late_blight,Potato___Late_blight,0.9996,True
Potato___Early_blight,Potato___Early_blight,0.9953,True
Potato___Early_blight,Potato___Early_blight,0.9825,True
Potato___Early_blight,Potato___Early_blight,0.9838,True
Potato___Early_blight,Potato___Early_blight,0.9987,True
Potato___Early_blight,Potato___Early_blight,0.9806,True
Potato___Late_blight,Potato___Late_blight,0.9887,True
Potato___Early_blight,Potato___Early_blight,0.9881,True
Potato___Late_blight,Potato___Late_blight,0.9806,True
Potato___Late_blight,Potato___Late_blight,0.9998,True
Potato___Late_blight,Potato___Late_blight,0.9615,True
Potato___Late_blight,Potato___Late_blight,0.9840,True
Potato___healthy,Potato___healthy,0.9955,True
Potato___Late_blight,Potato___Late_blight,0.9814,True
Potato___Early_blight,Potato___Early_blight,0.9677,True
Potato___Early_blight,Potato___Early_blight,0.9745,True
Potato___Late_blight,Potato___Late_blight,0.7024,True
Potato___Early_blight,Potato___Early_blight,0.9286,True
Potato___Early_blight,Potato___Early_blight,0.9962,True
Potato___Early_blight,Potato___Early_blight,0.9996,True
Potato___Early_blight,Potato___Early_blight,0.9698,True
Potato___Early_blight,Potato___Early_blight,0.9877,True
Potato___Early_blight,Potato___Early_blight,0.9981,True
Potato___Late_blight,Potato___Late_blight,0.9300,True
Potato___Late_blight,Potato___Late_blight,0.9775,True
Potato___Early_blight,Potato___Early_blight,0.9899,True
Potato___Early_blight,Potato___Early_blight,0.9956,True
Potato___Late_blight,Potato___Late_blight,1.0000,True
Potato___Late_blight,Potato___Late_blight,0.9996,True
Potato___Late_blight,Potato___Late_blight,0.8222,True
Potato___Early_blight,Potato___Early_blight,0.9971,True
Potato___Early_blight,Potato___Early_blight,1.0000,True
Potato___Late_blight,Potato___Late_blight,0.9995,True
Potato___Late_blight,Potato___Late_blight,1.0000,True
Potato___Early_blight,Potato___Late_blight,0.6637,False
Potato___Early_blight,Potato___Early_blight,0.9987,True
Potato___healthy,Potato___healthy,0.9716,True
Potato___Late_blight,Potato___Late_blight,0.7248,True
Potato___Late_blight,Potato___Late_blight,0.9147,True
Potato___Late_blight,Potato___Late_blight,0.9103,True
Potato___Early_blight,Potato___Early_blight,0.9921,True
Potato___Early_blight,Potato___Early_blight,0.9743,True
Potato___Late_blight,Potato___Late_blight,0.9872,True
Potato___Early_blight,Potato___Early_blight,0.9998,True
Potato___Early_blight,Potato___Early_blight,0.9995,True
Potato___Early_blight,Potato___Early_blight,0.9981,True
Potato___Late_blight,Potato___Late_blight,0.9819,True
Potato___Late_blight,Potato___Late_blight,0.9367,True
Potato___Early_blight,Potato___Early_blight,0.9953,True
Potato___Early_blight,Potato___Early_blight,0.9987,True
Potato___Early_blight,Potato___Early_blight,0.9957,True
Potato___Late_blight,Potato___Late_blight,0.9930,True
Potato___Early_blight,Potato___Early_blight,0.9185,True
Potato___Early_blight,Potato___Early_blight,0.9980,True
Potato___Late_blight,Potato___Late_blight,0.9497,True
Potato___healthy,Potato___healthy,0.7800,True
Potato___Early_blight,Potato___Early_blight,0.9959,True
Potato___Early_blight,Potato___Early_blight,0.9993,True
Potato___Late_blight,Potato___Late_blight,1.0000,True
Potato___Early_blight,Potato___Early_blight,0.9996,True
Potato___Late_blight,Potato___Late_blight,0.9996,True
Potato___Early_blight,Potato___Early_blight,0.9901,True
Potato___Late_blight,Potato___Late_blight,0.8809,True
Potato___Early_blight,Potato___Early_blight,0.9563,True
Potato___Late_blight,Potato___Late_blight,0.9820,True
Potato___Early_blight,Potato___Early_blight,0.9990,True
Potato___Early_blight,Potato___Early_blight,0.9987,True
Potato___Early_blight,Potato___Early_blight,0.9995,True
Potato___Late_blight,Potato___Late_blight,0.9908,True
Potato___Early_blight,Potato___Early_blight,0.9745,True
Potato___Late_blight,Potato___Late_blight,0.9424,True
Potato___Early_blight,Potato___Early_blight,0.9974,True
Potato___Early_blight,Potato___Early_blight,0.9986,True
Potato___Early_blight,Potato___Early_blight,0.9827,True
Potato___Early_blight,Potato___Early_blight,0.9568,True
Potato___Late_blight,Potato___Late_blight,0.8946,True
Potato___Late_blight,Potato___Late_blight,0.8710,True
Potato___healthy,Potato___healthy,0.9699,True
Potato___Early_blight,Potato___Late_blight,0.8677,False
Potato___Late_blight,Potato___Late_blight,0.9981,True
Potato___Early_blight,Potato___Early_blight,0.9984,True
Potato___Late_blight,Potato___Late_blight,0.9177,True
Potato___Early_blight,Potato___Early_blight,0.9983,True
Potato___Early_blight,Potato___Early_blight,0.9500,True
Potato___Early_blight,Potato___Early_blight,0.9139,True
Potato___Early_blight,Potato___Early_blight,0.9773,True
Potato___Late_blight,Potato___Late_blight,0.9998,True
Potato___Late_blight,Potato___Late_blight,0.9976,True
Potato___Late_blight,Potato___Late_blight,0.9940,True
Potato___Late_blight,Potato___Late_blight,0.9999,True
Potato___Early_blight,Potato___Early_blight,0.9986,True
Potato___Late_blight,Potato___Late_blight,0.9987,True
Potato___Early_blight,Potato___Early_blight,0.9985,True
Potato___Late_blight,Potato___Late_blight,0.9978,True
Potato___Early_blight,Potato___Early_blight,0.9956,True
Potato___Late_blight,Potato___Late_blight,0.9988,True
Potato___Late_blight,Potato___Late_blight,0.9973,True
Potato___Late_blight,Potato___Late_blight,0.9986,True
Potato___Late_blight,Potato___Late_blight,0.9997,True
Potato___Early_blight,Potato___Early_blight,0.9995,True
Potato___Early_blight,Potato___Early_blight,0.9642,True
Potato___healthy,Potato___healthy,0.9197,True
Potato___Late_blight,Potato___Late_blight,0.9990,True
Potato___Early_blight,Potato___Early_blight,0.9982,True
Potato___Late_blight,Potato___Late_blight,0.9986,True
Potato___Early_blight,Potato___Early_blight,0.9996,True
Potato___healthy,Potato___healthy,0.9745,True
Potato___Early_blight,Potato___Early_blight,0.9993,True
Potato___Early_blight,Potato___Early_blight,0.9961,True
Potato___Late_blight,Potato___Late_blight,0.9982,True
Potato___Early_blight,Potato___Early_blight,0.9999,True
Potato___Late_blight,Potato___Late_blight,0.9999,True
Potato___Early_blight,Potato___Early_blight,0.9854,True
Potato___Early_blight,Potato___Early_blight,1.0000,True
Potato___Early_blight,Potato___Early_blight,0.9959,True
Potato___Late_blight,Potato___Late_blight,0.9768,True
Potato___Late_blight,Potato___Late_blight,0.9993,True
Potato___Early_blight,Potato___Late_blight,0.5033,False
Potato___healthy,Potato___healthy,0.9718,True
Potato___Late_blight,Potato___Late_blight,0.9232,True
Potato___Early_blight,Potato___Early_blight,0.9266,True
Potato___Early_blight,Potato___Early_blight,0.9758,True
Potato___Early_blight,Potato___Early_blight,0.9936,True
Potato___Early_blight,Potato___Early_blight,0.9930,True
Potato___Early_blight,Potato___Early_blight,0.9613,True
Potato___Early_blight,Potato___Early_blight,0.9995,True
Potato___Late_blight,Potato___Late_blight,0.9990,True
Potato___Late_blight,Potato___Late_blight,0.7150,True
Potato___Late_blight,Potato___Late_blight,0.9996,True
Potato___Late_blight,Potato___Late_blight,0.9688,True
Potato___Late_blight,Potato___Late_blight,0.9896,True
Potato___Early_blight,Potato___Early_blight,0.9986,True
Potato___Early_blight,Potato___Early_blight,0.9986,True
Potato___Early_blight,Potato___Early_blight,0.9890,True
Potato___Late_blight,Potato___Late_blight,0.9972,True
Potato___Early_blight,Potato___Early_blight,0.9967,True
Potato___Late_blight,Potato___Late_blight,0.9999,True
Potato___Early_blight,Potato___Early_blight,0.9993,True
Potato___Early_blight,Potato___Early_blight,0.9640,True
Potato___Early_blight,Potato___Early_blight,0.9995,True
Potato___Late_blight,Potato___Late_blight,0.9359,True
Potato___Late_blight,Potato___Late_blight,0.9896,True
Potato___Early_blight,Potato___Early_blight,0.9589,True
Potato___Early_blight,Potato___Early_blight,0.9859,True
Potato___Late_blight,Potato___Late_blight,0.9991,True
Potato___Early_blight,Potato___Early_blight,0.8838,True
Potato___Late_blight,Potato___Late_blight,0.9992,True
Potato___Late_blight,Potato___Late_blight,0.9993,True
Potato___Early_blight,Potato___Early_blight,0.9969,True
Potato___Early_blight,Potato___Early_blight,0.9918,True
Potato___Late_blight,Potato___Late_blight,0.9978,True
Potato___Early_blight,Potato___Early_blight,0.9999,True
Potato___healthy,Potato___healthy,0.9785,True
Potato___Late_blight,Potato___Late_blight,0.9963,True
Potato___Late_blight,Potato___Late_blight,0.9903,True
Potato___Late_blight,Potato___Late_blight,0.9967,True
Potato___Late_blight,Potato___Late_blight,0.9639,True
Potato___Early_blight,Potato___Early_blight,0.9978,True
Potato___Late_blight,Potato___Late_blight,0.9685,True
Potato___Early_blight,Potato___Early_blight,0.9788,True
Potato___Late_blight,Potato___Late_blight,0.9991,True
Potato___Early_blight,Potato___Early_blight,0.9973,True
Potato___Early_blight,Potato___Early_blight,0.9983,True
Potato___Early_blight,Potato___Early_blight,0.9294,True
Potato___healthy,Potato___healthy,0.9915,True
Potato___Late_blight,Potato___Late_blight,0.9991,True
Potato___Early_blight,Potato___Early_blight,0.9992,True
Potato___Late_blight,Potato___Late_blight,0.9946,True
Potato___healthy,Potato___healthy,0.8165,True
Potato___Late_blight,Potato___Late_blight,0.9955,True
Potato___Late_blight,Potato___Late_blight,0.9415,True
Potato___Late_blight,Potato___Late_blight,0.9996,True
Potato___Early_blight,Potato___Early_blight,0.9983,True
Potato___Late_blight,Potato___Late_blight,0.9984,True
Potato___Late_blight,Potato___Late_blight,0.5450,True
Potato___Late_blight,Potato___Late_blight,0.9992,True
Potato___Late_blight,Potato___Late_blight,0.9613,True
Potato___Late_blight,Potato___Late_blight,0.8188,True
Potato___Late_blight,Potato___Late_blight,0.9955,True
Potato___Late_blight,Potato___Late_blight,0.9896,True
Potato___healthy,Potato___healthy,0.9113,True
Potato___Early_blight,Potato___Early_blight,0.9978,True
Potato___Early_blight,Potato___Early_blight,0.9717,True
Potato___Late_blight,Potato___Late_blight,0.9944,True
Potato___Early_blight,Potato___Early_blight,0.9975,True
Potato___Early_blight,Potato___Early_blight,0.8838,True
Potato___Late_blight,Potato___Late_blight,0.9994,True
Potato___Early_blight,Potato___Early_blight,0.9671,True
Potato___Late_blight,Potato___Late_blight,0.9590,True
Potato___Late_blight,Potato___Late_blight,0.9295,True
Potato___Late_blight,Potato___Late_blight,0.9491,True
Potato___Early_blight,Potato___Early_blight,0.9960,True
Potato___healthy,Potato___healthy,0.9335,True
Potato___Late_blight,Potato___Late_blight,0.9957,True
Potato___Late_blight,Potato___Late_blight,0.9921,True
Potato___Late_blight,Potato___Late_blight,0.9981,True
Potato___Late_blight,Potato___Late_blight,0.9998,True
Potato___Early_blight,Potato___Early_blight,0.9997,True
Potato___Early_blight,Potato___Early_blight,0.9870,True
Potato___Late_blight,Potato___Late_blight,0.8406,True
Potato___Early_blight,Potato___Early_blight,0.9999,True
Potato___Early_blight,Potato___healthy,0.6193,False
Potato___Early_blight,Potato___Early_blight,0.9961,True
Potato___Early_blight,Potato___Early_blight,0.9896,True
Potato___Early_blight,Potato___Early_blight,0.9973,True
Potato___Late_blight,Potato___Late_blight,0.6881,True
Potato___Late_blight,Potato___Late_blight,0.9931,True
Potato___healthy,Potato___healthy,0.9632,True
Potato___Early_blight,Potato___Early_blight,0.9981,True
Potato___Early_blight,Potato___Early_blight,0.9982,True
Potato___Late_blight,Potato___Late_blight,0.9378,True
Potato___Early_blight,Potato___Early_blight,0.9992,True
Potato___Early_blight,Potato___Early_blight,0.9978,True
Potato___Late_blight,Potato___Late_blight,0.9883,True
Potato___Late_blight,Potato___Late_blight,0.9097,True
Potato___Early_blight,Potato___Early_blight,0.9972,True
Potato___Early_blight,Potato___Early_blight,0.9994,True
Potato___Late_blight,Potato___Late_blight,0.9761,True
Potato___Late_blight,Potato___Late_blight,0.9911,True
Potato___Late_blight,Potato___Late_blight,0.9702,True
Potato___Early_blight,Potato___Early_blight,0.9993,True
Potato___Early_blight,Potato___Early_blight,0.9959,True
Potato___Late_blight,Potato___Late_blight,0.9904,True
Potato___Early_blight,Potato___Early_blight,0.9998,True
Potato___Early_blight,Potato___Early_blight,0.9986,True
Potato___Late_blight,Potato___Late_blight,0.9127,True
Potato___Early_blight,Potato___Early_blight,0.9924,True
Potato___Late_blight,Potato___Late_blight,1.0000,True
Potato___Late_blight,Potato___Late_blight,0.9780,True
Potato___Early_blight,Potato___Early_blight,1.0000,True
Potato___Late_blight,Potato___Late_blight,0.9995,True
Potato___Late_blight,Potato___Late_blight,0.7311,True
